file_id,text,categories,onset,offset,mapped_labels,fidelity_rating,fidelity_comment
102871,"['A piercing and rhythmic siren sounds.', 'Distant vehicle engines rumbling continuously in a city.']","[""['Siren']"", ""['Car', 'Truck', 'Motorcycle', 'Bus']""]","[0.0, 0.0]","[25.538, 25.538]","['Car', 'Truck', 'Motorcycle', 'Bus', 'Siren']",,
128068,"['A bird chirps loudly.', 'A bird chirps loudly.', 'A bird chirps loudly.', 'A bird chirps loudly.', 'A bird chirps loudly.', 'A bird chirps loudly.', 'A bird chirps loudly.', 'A bird chirps loudly.', 'A bird chirps.', 'Birds chirping in the distance.', 'Traffic rumbling in the distance.', 'A child is talking in the distance.', 'Children laughing in the distance.', 'A bird chirps loudly.']","[""['Bird Chirp']"", ""['Bird Chirp']"", ""['Bird Chirp']"", ""['Bird Chirp']"", ""['Bird Chirp']"", ""['Bird Chirp']"", ""['Bird Chirp']"", ""['Bird Chirp']"", ""['Bird Chirp']"", ""['Bird Chirp']"", ""['Car', 'Truck', 'Bus', 'Motorcycle']"", ""['Speech']"", ""['Laughter']"", ""['Bird Chirp']""]","[0.0, 8.354665989359725, 12.956203195203292, 15.702745714941171, 17.57212020481512, 18.20483157061861, 9.79264636618584, 14.92623631145507, 2.804061734810924, 0.0, 0.0, 16.10538022045248, 0.7477497959495794, 20.80757605267388]","[0.3163556829017452, 8.627882260956687, 13.272558878105038, 15.975961986538136, 17.845336476412083, 18.52118725352036, 10.16652126416063, 15.285731405661595, 3.077278006407885, 20.893854875283445, 20.893854875283445, 17.21262511060859, 1.9412735087152544, 20.893854875283445]","['Car', 'Truck', 'Motorcycle', 'Bus', 'Laughter', 'Speech', 'Bird Chirp']",,
161501,['Water drops splash and stream continuously on the surface faintly.'],"[""['Drip', 'Stream/River']""]",[2.732707917801086],[20.296566989486244],"['Stream/River', 'Drip']",,
185070,"['An eerie, whistling wind howls.', 'Eerie whistle of the wind.']","[""['Wind']"", ""['Wind']""]","[0.1260559153801241, 9.706305484269556]","[6.224010821893627, 15.788503401360543]",['Wind'],,
203163,['A constant stream of water flowing in a creek.'],"[""['Stream/River']""]",[0.0],[28.936419107852725],['Stream/River'],,
211528,"['A baby crying with rhythmic gasps of breath.', 'A baby sobs gently with a quivering tone.', 'A baby cries repeatedly with gasps of breath.', 'A baby crying loudly and continuously.']","[""['Crying']"", ""['Crying']"", ""['Crying']"", ""['Crying']""]","[0.0, 3.501961756081444, 12.465447903511308, 8.144562484143702]","[3.5419841761509465, 8.184584904213203, 23.07292517006803, 12.486995061684691]",['Crying'],,
24716,"['Multiple emergency vehicle sirens ring loudly, increasing and then decreasing in volume.', 'A reporter is speaking indistinctly.']","[""['Siren']"", ""['Speech']""]","[0.0144843023119882, 16.671431961100595]","[22.479000000000003, 22.479000000000003]","['Speech', 'Siren']",,
277133,"['A loud piano key is pressed, and the note sustains for over 10 seconds.']","[""['Piano']""]",[0.0],[11.78827725763845],['Piano'],,
31447,"['A person making a muffled announcement over an intercom with slight electronic modulation.', 'A plane approaches for landing with engines roaring, producing a powerful, low-frequency hum with intermittent vibrations.']","[""['Speech']"", ""['Airplane']""]","[1.4306908127834468, 0.0]","[18.161496598639456, 18.161496598639456]","['Airplane', 'Speech']",,
317414,['Loud sound of waves crashing.'],"[""['Waves']""]",[0.0],[27.021396534329256],['Waves'],,
